snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.7.2,2026-04-21,da,危局强袭,1-3,首领 3,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,burnice,Burnice White,柏妮思·怀特,异常主C,S,0.03,0,130,59,0.47,60.0,59.97,6.99,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-3,首领 3,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,burnice,Burnice White,柏妮思·怀特,异常主C,S,0.01,0,385,156,0.51,60.0,59.82,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,burnice,Burnice White,柏妮思·怀特,异常主C,S,0.34,11204,898,139,0.4,60.0,59.93,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,burnice,Burnice White,柏妮思·怀特,异常主C,S,0.01,0,91,29,0.52,60.0,59.84,6.98,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,burnice,Burnice White,柏妮思·怀特,异常主C,S,0.01,0,978,322,0.43,60.0,58.93,6.99,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-3,首领 3,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,caesar,Caesar King,凯撒·金,辅助,S,0.1,0,233,54,0.5,60.0,58.18,6.97,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-3,首领 3,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,caesar,Caesar King,凯撒·金,辅助,S,0.48,23881,336,85,0.54,60.0,59.55,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-3,首领 3,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,caesar,Caesar King,凯撒·金,辅助,S,0.42,22756,165,72,0.72,60.0,59.15,6.99,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-3,首领 3,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,caesar,Caesar King,凯撒·金,辅助,S,1.05,24829,264,63,0.65,60.0,59.67,6.99,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-3,首领 3,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,caesar,Caesar King,凯撒·金,辅助,S,0.6,22584,137,44,0.67,60.0,59.87,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
