tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,lycaon,Von Lycaon,冯·莱卡恩,Support,辅助,support,辅助,T1,9,,,,Ice,冰,Stun,击破,Victoria Housekeeping Co.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lycaon.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,lycaon,Von Lycaon,冯·莱卡恩,Support,辅助,support,辅助,T1,9,,,,Ice,冰,Stun,击破,Victoria Housekeeping Co.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/lycaon.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,manato,Komano Manato,狛野真斗,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Rupture,命破,Spook Shack,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/manato.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,manato,Komano Manato,狛野真斗,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Fire,火,Rupture,命破,Spook Shack,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/manato.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,miyabi,Hoshimi Miyabi,星见 雅,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,,down,,Ice,冰,Anomaly,异常,Section 6,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/miyabi.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,miyabi,Hoshimi Miyabi,星见 雅,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,,down,,Ice,冰,Anomaly,异常,Section 6,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/miyabi.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,nangong-yu,Nangong Yu,南宫羽,Support,辅助,support,辅助,T0,11,,,,Ether,以太,Stun,击破,Angels of Delusion,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nangong-yu.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,nangong-yu,Nangong Yu,南宫羽,Support,辅助,support,辅助,T0,11,,,,Ether,以太,Stun,击破,Angels of Delusion,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nangong-yu.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,nekomata,Nekomiya Mana,猫宫 又奈,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Cunning Hares,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nekomata.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,nekomata,Nekomiya Mana,猫宫 又奈,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Cunning Hares,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nekomata.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,nicole-demara,Nicole Demara,妮可·德玛拉,Support,辅助,support,辅助,T0.5,10,Expert,,,Ether,以太,Support,支援,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nicole-demara.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,nicole-demara,Nicole Demara,妮可·德玛拉,Support,辅助,support,辅助,T0.5,10,Expert,,,Ether,以太,Support,支援,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/nicole-demara.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,orphie-and-magus,"Orphie Magnusson & ""Magus""",奥菲丝·马格努森 & 「鬼火」,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/orphie-and-magus.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,orphie-and-magus,"Orphie Magnusson & ""Magus""",奥菲丝·马格努森 & 「鬼火」,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Fire,火,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/orphie-and-magus.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,pan-yinhu,Pan Yinhu,潘引壶,Support,辅助,support,辅助,T1,9,,,,Physical,物理,Defence,防护,Yunkui Summit,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/pan-yinhu.webp,https://www.prydwen.gg/zenless/tier-list
